id;famille;question;outil_attendu;doit_contenir;ne_doit_pas_contenir;commentaire
A1;valeur;Quel est le taux de chômage dans la province d'Al Hoceima ?;lire_valeur;24,6;;valeur exacte du RGPH 2024, modalité Ensemble
A2;valeur;Quelle est la population légale de Tanger-Assilah ?;lire_valeur;1 494 413;;grand nombre, séparateur d'espace attendu
A3;valeur;Combien d'habitants compte la province de Fahs-Anjra ?;lire_valeur;100 789;;formulation familière du même besoin
A4;valeur;Quel est le taux de pauvreté multidimensionnelle à Ouezzane ?;lire_valeur;13,5;;valeur la plus élevée de la région
A5;valeur;Population légale de la région Tanger-Tétouan-Al Hoceïma ?;lire_valeur;4 030 222;;le niveau région doit être accepté
B1;ambigu;Quel est le taux de pauvreté à Chefchaouen ?;resoudre_territoire;province|commune;12,3;doit demander : 12,38 % en province contre 2,53 % en commune
B2;ambigu;Donne-moi la population de Tétouan.;resoudre_territoire;province|commune;;province et commune portent le même nom
B3;ambigu;Et pour Larache ?;resoudre_territoire;province|commune;;même ambiguïté, formulation elliptique
B4;ambigu;Taux de chômage à Al Hoceima ?;resoudre_territoire;province|commune;;ne doit pas trancher silencieusement
B5;ambigu;Quel est le taux de pauvreté dans la commune de Chefchaouen ?;lire_valeur;2,5;12,3;le niveau est déclaré : aucune question à poser
B6;ambigu;Quel est le taux de pauvreté dans la province de Chefchaouen ?;lire_valeur;12,3;2,5;le niveau est déclaré dans l'autre sens
C1;orthographe;Population de Tetouane ?;resoudre_territoire;Tétouan;;accent et lettre finale erronés
C2;orthographe;Chômage à Al Hoceyma ?;resoudre_territoire;Hoceima;;transcription approximative courante
C3;orthographe;Combien d'habitants à Ouazzane ?;resoudre_territoire;Ouezzane;;voyelle inversée
C4;orthographe;Population de Chaouen ?;resoudre_territoire;Chefchaouen;;nom d'usage abrégé
D1;hors_niveau;Combien de médecins dans la commune de Bab Berred ?;decrire;n'existe pas|pas publié|niveau communal;0;aucun dénombrement communal de médecins n'existe
