id;famille;question;comportement_attendu;commentaire
VP001;valeur_precise;Quel est le taux de chômage à Tanger ?;Renvoyer la valeur du taux de chômage (%, 2024) pour la commune de Tanger.;Cas de base, indicateur et territoire existants aux deux niveaux.
VP002;valeur_precise;Bonjour, je prépare une note pour le conseil provincial : quel est le taux d'analphabétisme des 15 ans et plus dans la province de Chefchaouen ?;Renvoyer la valeur du taux d'analphabétisme des 15 ans et plus (%, 2024) pour la préfecture/province de Chefchaouen.;Question formelle avec contexte professionnel, niveau territorial explicite.
VP003;valeur_precise;Population légale de Martil en 2024 ?;Renvoyer la population légale (hab, millésime 2024) pour la commune de Martil.;Indicateur disponible sur deux millésimes (2014 et 2024) : vérifie que le bon millésime est restitué.
VP004;valeur_precise;Combien d'habitants par médecin dans la province de Larache ?;Renvoyer la valeur d'habitants par médecin (hab./unité, 2024) pour la préfecture/province de Larache.;Indicateur publié uniquement au niveau province, demandé au bon niveau.
VP005;valeur_precise;Quel est le taux de scolarisation des 6-11 ans (2023/2024) dans la commune de Ksar El Kebir ?;Renvoyer le taux de scolarisation des 6-11 ans 2023/2024 (%) pour la commune de Ksar El Kebir.;Formulation précise reprenant le libellé de l'indicateur.
VP006;valeur_precise;J'ai besoin du linéaire de routes nationales (en km) pour la province d'Al Hoceima, pour un dossier d'infrastructure.;Renvoyer la valeur des routes nationales (km, 2024) pour la préfecture/province d'Al Hoceima.;Indicateur infrastructure, prov uniquement, contexte professionnel.
VP007;valeur_precise;Population active occupée de 15 ans et plus à Assilah ?;Renvoyer la population active occupée de 15 ans et plus (hab, 2024) pour la commune d'Assilah.;Indicateur emploi au niveau commune.
VP008;valeur_precise;Quel est le taux d'urbanisation de la province de Ouezzane ?;Renvoyer le taux d'urbanisation (%, 2024) pour la préfecture/province de Ouezzane.;Indicateur publié uniquement au niveau province.
VP009;valeur_precise;Combien de ménages recense-t-on à M'diq en 2024 ?;Renvoyer le nombre de ménages (2024) pour la commune de M'diq, indicateur du secteur Démographie.;Attention : l'indicateur « Ménages » existe aussi en version Conditions de vie, non publiée au niveau commune — vérifie que le bon indicateur est mobilisé.
VP010;valeur_precise;Quelle est la température moyenne dans la province de Fahs-Anjra ?;Renvoyer la température moyenne (°C, 2020-2024) pour la préfecture/province de Fahs-Anjra.;Indicateur climatique, niveau province uniquement.
VP011;valeur_precise;taux d'activité des 15 ans et plus à Fnideq, tu peux me dire ?;Renvoyer le taux d'activité des 15 ans et plus (%, 2024) pour la commune de Fnideq.;Formulation orale mais correcte, sans faute majeure.
VP012;valeur_precise;Quel est le total des autoroutes en kilomètres dans la préfecture de Tanger-Assilah ?;Renvoyer la valeur des autoroutes (km, 2024) pour la préfecture de Tanger-Assilah.;Indicateur infrastructure au niveau province.
VP013;valeur_precise;Je cherche le taux de pauvreté multidimensionnelle incidence H pour la commune de Chefchaouen, pas la province.;Renvoyer le taux de pauvreté multidimensionnelle incidence H (%, 2024) pour la commune de Chefchaouen, niveau précisé explicitement par l'utilisateur.;Territoire à double niveau mais l'utilisateur lève lui-même l'ambiguïté : ne pas redemander de précision.
VP014;valeur_precise;Habitants par lit hospitalier dans la province de Tétouan ?;Renvoyer les habitants par lit hospitalier (hab./unité, 2024) pour la préfecture de Tétouan.;Indicateur santé, niveau province uniquement.
VP015;valeur_precise;Pour mon mémoire, il me faudrait l'indicateur conjoncturel de fécondité de la commune de Larache (pas la province).;Renvoyer l'indicateur conjoncturel de fécondité (enfants/femme, 2024) pour la commune de Larache.;Contexte académique, niveau précisé malgré le nom ambigu.
VP016;valeur_precise;Quel est le taux d'utilisation d'Internet dans la province de M'diq-Fnideq ?;Renvoyer le taux d'utilisation d'Internet (%, 2024) pour la préfecture de M'diq-Fnideq.;Indicateur numérique, niveau province.
VP017;valeur_precise;Quelle est la population municipale de la commune d'Al Hoceima ?;Renvoyer la population municipale (hab, 2024, secteur Démographie) pour la commune d'Al Hoceima.;Attention au doublon : « Population municipale » existe aussi dans Conditions de vie, non publié au niveau commune.
VP018;valeur_precise;Taux de prévalence du handicap à Targuist ?;Renvoyer le taux de prévalence du handicap (%, 2024) pour la commune de Targuist.;Indicateur santé disponible aux deux niveaux.
VP019;valeur_precise;Combien d'écoles primaires publiques recensées dans la province de Larache (chiffres 2021) ?;Renvoyer le nombre d'écoles primaires publiques recensées (établissements, 2021) pour la préfecture de Larache.;Millésime différent (2021) à ne pas confondre avec les indicateurs 2023-2024 du même secteur.
VP020;valeur_precise;Âge moyen singulier au mariage dans la commune d'Oued Laou ?;Renvoyer l'âge moyen singulier au mariage (ans, 2024) pour la commune d'Oued Laou.;Indicateur démographique peu courant, teste la couverture fine du secteur.
VP021;valeur_precise;Population alphabète de 10 ans et plus à Bni Bouayach, vous avez ce chiffre ?;Renvoyer la population alphabète de 10 ans et plus (hab, 2024) pour la commune de Bni Bouayach.;Petite commune, teste que la couverture n'est pas limitée aux grandes villes.
VP022;valeur_precise;Nombre total d'établissements primaires (public + privé) dans la province de Chefchaouen ?;Renvoyer le nombre d'établissements primaire public + privé (2023-2024) pour la préfecture de Chefchaouen.;Indicateur éducation agrégé, niveau province uniquement.
VP023;valeur_precise;Taux d'analphabétisme des 10 ans et plus à Issaguen (Ketama) ?;Renvoyer le taux d'analphabétisme des 10 ans et plus (%, 2024) pour la commune d'Issaguen.;Vérifie la distinction avec l'indicateur « 15 ans et plus », proche mais différent.
VP024;valeur_precise;Habitants par officine de pharmacie, province d'Al Hoceima ?;Renvoyer les habitants par officine de pharmacie (hab./unité, 2024) pour la préfecture d'Al Hoceima.;Indicateur santé, niveau province.
VP025;valeur_precise;Quelle est la population active de 15 ans et plus dans la commune d'Ouezzane (la ville, pas la province) ?;Renvoyer la population active de 15 ans et plus (hab, 2024) pour la commune d'Ouezzane.;Niveau précisé malgré le nom ambigu commune/province.
VP026;valeur_precise;Établissements avec module d'accouchement à Bab Taza ?;Renvoyer le nombre d'établissements avec module d'accouchement (2024) pour la commune de Bab Taza.;Indicateur santé maternelle, niveau commune.
VP027;valeur_precise;Humidité relative moyenne, province de Tétouan, sur la période 2020-2024 ?;Renvoyer l'humidité relative moyenne (%, 2020-2024) pour la préfecture de Tétouan.;Indicateur climatique, niveau province, période pluriannuelle.
VP028;valeur_precise;Quelle est la répartition du statut professionnel des actifs occupés de 15 ans et plus à Zoumi ?;Renvoyer la répartition du statut professionnel des actifs occupés de 15 ans et plus (%, 2024, 8 déclinaisons) pour la commune de Zoumi.;Indicateur à déclinaisons multiples, teste la restitution d'une répartition et non d'un chiffre unique.
VP029;valeur_precise;Population de 15 ans et plus à Jouamaa ?;Renvoyer la population de 15 ans et plus (hab, 2024) pour la commune de Jouamaa.;Petite commune rurale, indicateur démographique simple.
VP030;valeur_precise;Température maximale moyenne enregistrée dans la province de Larache ?;Renvoyer la température maximale moyenne (°C, 2020-2024) pour la préfecture de Larache.;Indicateur climatique, niveau province.
VP031;valeur_precise;Quel est le taux d'accroissement annuel de la population dans la province de Larache ?;Renvoyer le taux d'accroissement annuel de la population (%, 2024) pour la préfecture de Larache.;Indicateur publié uniquement au niveau province, à ne pas confondre avec une demande au niveau commune.
VP032;valeur_precise;Quelles langues locales sont utilisées dans la commune de Tétouan, en pourcentage ?;Renvoyer la répartition des langues locales utilisées (%, 2024, non exclusives) pour la commune de Tétouan.;Niveau précisé (commune) malgré le nom ambigu, indicateur à déclinaisons multiples.
VP033;valeur_precise;Longueur des routes provinciales dans la préfecture de Fahs-Anjra ?;Renvoyer la valeur des routes provinciales (km, 2024) pour la préfecture de Fahs-Anjra.;Indicateur infrastructure, niveau province.
VP034;valeur_precise;Contribution de la santé à la pauvreté multidimensionnelle à Martil ?;Renvoyer la contribution de la santé à la pauvreté multidimensionnelle (%, 2024) pour la commune de Martil.;Indicateur composant du MPI, niveau commune.
VP035;valeur_precise;Population inactive de 15 ans et plus dans la commune de Ksar Sghir ?;Renvoyer la population inactive de 15 ans et plus (hab, 2024) pour la commune de Ksar Sghir.;Indicateur emploi, petite commune côtière.
VP036;valeur_precise;Combien d'établissements collégiaux publics dans la province de Ouezzane (chiffres 2023-2024) ?;Renvoyer le nombre d'établissements collégial public (2023-2024) pour la préfecture de Ouezzane.;Niveau ambigu par le nom, ici précisé « province ».
VP037;valeur_precise;Résidents installés depuis moins de 5 ans à Zaouiat Sidi Kacem ?;Renvoyer les résidents installés depuis moins de 5 ans (hab, 2024) pour la commune de Zaouiat Sidi Kacem.;Indicateur migration interne, petite commune.
VP038;valeur_precise;Descendance finale des femmes, commune de Bab Berred ?;Renvoyer la descendance finale des femmes (enfants/femme, 2024) pour la commune de Bab Berred.;Indicateur démographique de fécondité, niveau commune.
VP039;valeur_precise;Quel pourcentage de la population dispose d'un ordinateur personnel dans la province de Tanger-Assilah ?;Renvoyer le taux d'équipement en ordinateur personnel (%, 2024) pour la préfecture de Tanger-Assilah.;Indicateur numérique, niveau province uniquement.
VP040;valeur_precise;Entrées migratoires enregistrées pour la commune d'Assilah ?;Renvoyer les entrées migratoires (personnes, 2024) pour la commune d'Assilah.;Indicateur migration, niveau commune.
VP041;valeur_precise;Sorties migratoires, commune de Fnideq ?;Renvoyer les sorties migratoires (personnes, 2024) pour la commune de Fnideq.;Indicateur migration, symétrique de l'indicateur précédent.
VP042;valeur_precise;Distance moyenne des logements à la route goudronnée, province de M'diq-Fnideq ?;Renvoyer la distance moyenne des logements à la route goudronnée (km, 2024) pour la préfecture de M'diq-Fnideq.;Indicateur enclavement, niveau province uniquement.
VP043;valeur_precise;État matrimonial des 15 ans et plus dans la commune d'Ain Beida, vous avez le détail ?;Renvoyer la répartition de l'état matrimonial des 15 ans et plus (%, 2024, 4 déclinaisons) pour la commune d'Ain Beida.;Indicateur à déclinaisons, petite commune rurale.
VP044;valeur_precise;Habitants par infirmier dans la province de Chefchaouen ?;Renvoyer les habitants par infirmier (hab./unité, 2024) pour la préfecture de Chefchaouen.;Indicateur santé, niveau province.
VP045;valeur_precise;Quel est le taux de chômage dans la commune de Larache, précisément la ville ?;Renvoyer le taux de chômage (%, 2024) pour la commune de Larache.;Niveau explicitement précisé malgré le nom partagé avec la province.
VP046;valeur_precise;La commune d'Al Hoceima a-t-elle des établissements avec unité UMP, et combien ?;Renvoyer le nombre d'établissements avec unité UMP (2024) pour la commune d'Al Hoceima.;Indicateur santé, niveau commune précisé.
VP047;valeur_precise;Répartition par type de logement dans la province de Tétouan ?;Renvoyer la répartition par type de logement (%, 2024, 6 déclinaisons) pour la préfecture de Tétouan.;Indicateur logement, niveau province uniquement.
VP048;valeur_precise;Population sédentaire de 5 ans et plus à Imzouren ?;Renvoyer la population sédentaire de 5 ans et plus (hab, 2024) pour la commune d'Imzouren.;Indicateur démographique, niveau commune.
VP049;valeur_precise;Combien de migrants internationaux recensés à Targuist ?;Renvoyer les migrants internationaux (personnes, 2024) pour la commune de Targuist.;Indicateur migration internationale, niveau commune.
VP050;valeur_precise;Nombre de lycées publics recensés (2021) dans la province de Larache ?;Renvoyer le nombre de lycées publics recensés (établissements, 2021) pour la préfecture de Larache.;Millésime 2021 distinct des autres indicateurs éducation en 2023-2024.
VP051;valeur_precise;Natifs du territoire, commune de Bni Ahmed Cherqia ?;Renvoyer les natifs du territoire (hab, 2024) pour la commune de Bni Ahmed Cherqia.;Indicateur démographique, petite commune.
VP052;valeur_precise;Quel combustible de cuisson est le plus utilisé dans la province d'Al Hoceima, en pourcentage ?;Renvoyer la répartition du combustible de cuisson utilisé (%, 2024, 5 déclinaisons) pour la préfecture d'Al Hoceima.;Indicateur conditions de vie, niveau province uniquement.
VP053;valeur_precise;Population active occupée de 15 ans et plus à Dar Chaoui ?;Renvoyer la population active occupée de 15 ans et plus (hab, 2024) pour la commune de Dar Chaoui.;Indicateur emploi, petite commune.
VP054;valeur_precise;Taux d'analphabétisme des 15 ans et plus à Sidi Lyamani ?;Renvoyer le taux d'analphabétisme des 15 ans et plus (%, 2024) pour la commune de Sidi Lyamani.;Indicateur éducation, niveau commune.
VP055;valeur_precise;Mode d'évacuation des eaux usées, province de Ouezzane, quelle répartition ?;Renvoyer la répartition du mode d'évacuation des eaux usées (%, 2024, 3 déclinaisons) pour la préfecture de Ouezzane.;Indicateur assainissement, niveau province uniquement.
VP056;valeur_precise;Indice de pauvreté multidimensionnelle MPI pour la commune de Tanger, millésime 2024 ?;Renvoyer l'indice de pauvreté multidimensionnelle MPI (2024) pour la commune de Tanger.;Indicateur sans unité, deux millésimes disponibles (2014/2024), demande précise sur 2024.
VP057;valeur_precise;Contribution des conditions de vie à la pauvreté multidimensionnelle, commune de Chefchaouen (la ville) ?;Renvoyer la contribution des conditions de vie à la pauvreté multidimensionnelle (%, 2024) pour la commune de Chefchaouen.;Niveau précisé malgré le nom ambigu.
VP058;valeur_precise;Habitants par ESSP dans la préfecture de Fahs-Anjra ?;Renvoyer les habitants par ESSP (hab./unité, 2024) pour la préfecture de Fahs-Anjra.;Indicateur santé, niveau province, 3 déclinaisons.
VP059;valeur_precise;Combien d'établissements de rattachement RAMED dans la commune de Ksar El Kebir ?;Renvoyer le nombre d'établissements de rattachement RAMED (2024) pour la commune de Ksar El Kebir.;Indicateur santé/couverture sociale, niveau commune.
VP060;valeur_precise;Taux de vulnérabilité à la pauvreté multidimensionnelle à M'diq ?;Renvoyer le taux de vulnérabilité à la pauvreté multidimensionnelle (%, 2024) pour la commune de M'diq.;Indicateur pauvreté, niveau commune.
VP061;valeur_precise;Nombre moyen de personnes par pièce d'habitation, province de Tétouan ?;Renvoyer le nombre moyen de personnes par pièce d'habitation (pers./pièce, 2024) pour la préfecture de Tétouan.;Indicateur logement, niveau province uniquement.
VP062;valeur_precise;Résidents non migrants recensés à Bni Boufrah ?;Renvoyer les résidents non migrants (hab, 2024) pour la commune de Bni Boufrah.;Indicateur migration, petite commune.
VP063;valeur_precise;Population sédentaire à Senada, vous avez le chiffre ?;Renvoyer la population sédentaire (hab, 2024, secteur Démographie) pour la commune de Senada.;Indicateur démographique de base, niveau commune.
VP064;valeur_precise;Taux d'accroissement annuel des ménages, province de M'diq-Fnideq ?;Renvoyer le taux d'accroissement annuel des ménages (%, 2024) pour la préfecture de M'diq-Fnideq.;Indicateur publié uniquement au niveau province.
VP065;valeur_precise;Répartition par sexe de la population de la commune de Zinat ?;Renvoyer la répartition par sexe (%, 2024) pour la commune de Zinat.;Indicateur démographique de base, petite commune.
VP066;valeur_precise;Habitants par médecin dentiste, province d'Al Hoceima ?;Renvoyer les habitants par médecin dentiste (hab./unité, 2024) pour la préfecture d'Al Hoceima.;Indicateur santé, niveau province.
VP067;valeur_precise;Résidents installés depuis moins de 10 ans à Assilah ?;Renvoyer les résidents installés depuis moins de 10 ans (hab, 2024) pour la commune d'Assilah.;Indicateur migration, à distinguer de l'indicateur « moins de 5 ans ».
VP068;valeur_precise;Niveau d'études dans l'enseignement général, commune de Larache (la ville) ?;Renvoyer la répartition par niveau d'études dans l'enseignement général (%, 2024, 6 déclinaisons) pour la commune de Larache.;Niveau précisé, indicateur à déclinaisons multiples.
VP069;valeur_precise;Combien de satellites (unités scolaires) du primaire public dans la province de Chefchaouen ?;Renvoyer le nombre de satellites (unités scolaires) du primaire public (2023-2024) pour la préfecture de Chefchaouen.;Indicateur éducation rural, niveau province uniquement.
VP070;valeur_precise;Population de 7 à 12 ans dans la commune de Bni Said ?;Renvoyer la population de 7 à 12 ans (hab, 2024) pour la commune de Bni Said.;Indicateur démographique ciblé sur une tranche d'âge scolaire.
VP071;valeur_precise;Quelles langues sont lues et écrites par les alphabètes de 10 ans et plus à Zaouiat Sidi Abdelkader ?;Renvoyer la répartition des langues lues et écrites par les alphabètes de 10 ans et plus (%, 2024, 4 déclinaisons) pour la commune de Zaouiat Sidi Abdelkader.;Indicateur éducation à déclinaisons multiples, petite commune.
VP072;valeur_precise;Habitants par scanner, province de Larache ?;Renvoyer les habitants par scanner (hab./unité, 2024) pour la préfecture de Larache.;Indicateur santé, équipement lourd, niveau province.
VP073;valeur_precise;Contribution de l'éducation à la pauvreté multidimensionnelle, commune d'Ouezzane (la ville, pas la province) ?;Renvoyer la contribution de l'éducation à la pauvreté multidimensionnelle (%, 2024) pour la commune de Ouezzane.;Niveau précisé malgré le nom ambigu.
VP074;valeur_precise;Comment se déplacent les habitants de Fnideq ? Vous avez une répartition par mode de transport ?;Renvoyer la répartition par mode de transport (%, 2024, 12 déclinaisons) pour la commune de Fnideq.;Indicateur mobilité à nombreuses déclinaisons, formulation indirecte.
VP075;valeur_precise;Établissements qualifiant (public + privé) dans la préfecture de Tanger-Assilah, chiffres 2023-2024 ?;Renvoyer le nombre d'établissements qualifiant public + privé (2023-2024) pour la préfecture de Tanger-Assilah.;Indicateur éducation secondaire qualifiant, niveau province uniquement.
IMP001;impossible;Quel est le taux d'utilisation d'Internet dans la commune de Bab Taza ?;Expliquer que cet indicateur n'est publié qu'au niveau province/préfecture, pas au niveau commune, et ne pas donner de chiffre.;Indicateur réellement absent à ce niveau territorial précis (donnée non publiée, pas donnée manquante par erreur).
IMP002;impossible;Combien d'habitants par lit d'hôpital dans la commune d'Assilah ?;Expliquer que l'indicateur « habitants par lit hospitalier » n'existe qu'au niveau province, pas commune.;Même type de piège avec un indicateur santé.
IMP003;impossible;Quelle est la température moyenne dans la commune de Chefchaouen ?;Expliquer que les indicateurs climatiques ne sont publiés qu'au niveau province.;Indicateur climatique jamais disponible au niveau commune, quel que soit le territoire.
IMP004;impossible;Combien de kilomètres d'autoroutes traversent la commune de Martil ?;Expliquer que l'indicateur autoroutes n'est publié qu'au niveau province.;Indicateur infrastructure non publié au niveau commune.
IMP005;impossible;Quel est le taux d'urbanisation de la commune de Larache ?;Expliquer que le taux d'urbanisation n'est publié qu'au niveau province, pas au niveau commune, même pour la commune de Larache.;Combine le piège homonymie et le piège niveau territorial.
