id;famille;question;branche_obtenue;refus;indicateur;territoire;verdict;reponse
VP001;valeur_precise;Quel est le taux de chômage à Tanger ?;valeur;;393;Commune de Tanger;strict;Taux de chômage pour territoire factice en 2024 : valeur factice. (Source : RGPH 2024 — Recensement Général de la Population et de l'Habitat (HCP). https://resultats2024.rgphapps.ma/)
VP002;valeur_precise;Bonjour, je prépare une note pour le conseil provincial : quel est le taux d'analphabétisme des 15 ans et plus dans la province de Chefchaouen ?;valeur;;114;Chefchaouen;strict;Taux d'analphabétisme des 15 ans et plus pour territoire factice en 2024 : valeur factice. (Source : RGPH 2024 — Recensement Général de la Population et de l'Habitat (HCP). https://resultats2024.rgphapps.ma/)
VP003;valeur_precise;Population légale de Martil en 2024 ?;valeur;;40;Commune de Martil;strict;Population légale (2024) pour territoire factice : valeur factice. (Source : RGPH 2024 — Recensement Général de la Population et de l'Habitat (HCP). https://resultats2024.rgphapps.ma/)
VP004;valeur_precise;Combien d'habitants par médecin dans la province de Larache ?;valeur;;413;Larache;strict;Habitants par médecin (public + privé) pour territoire factice en 2024 : valeur factice. (Source : Carte Sanitaire (Ministère de la Santé et de la Protection Sociale) — Tableau de Bord Interactif, export officiel 2024)
VP005;valeur_precise;Quel est le taux de scolarisation des 6-11 ans (2023/2024) dans la commune de Ksar El Kebir ?;valeur;;115;Commune de Ksar El Kebir;strict;Taux de scolarisation des 6-11 ans en 2023/2024 pour territoire factice : valeur factice. (Source : RGPH 2024 — Recensement Général de la Population et de l'Habitat (HCP). https://resultats2024.rgphapps.ma/)
VP006;valeur_precise;J'ai besoin du linéaire de routes nationales (en km) pour la province d'Al Hoceima, pour un dossier d'infrastructure.;valeur;;317;Al Hoceima;strict;Routes nationales pour territoire factice en 2024 : valeur factice. (Source : Direction Régionale du HCP Tanger-Tétouan-Al Hoceïma, figure « Réseau routier et autoroutier (en km) selon les préfectures/provinces, 2024 ». Niveau province — ventilation absente de l'Annuaire national, qui s'arrête à la 
VP007;valeur_precise;Population active occupée de 15 ans et plus à Assilah ?;valeur;;382;Commune d'Assilah;strict;Population active occupée de 15 ans et plus pour territoire factice en 2024 : valeur factice. (Source : RGPH 2024 — Recensement Général de la Population et de l'Habitat (HCP). https://resultats2024.rgphapps.ma/)
VP008;valeur_precise;Quel est le taux d'urbanisation de la province de Ouezzane ?;valeur;;404;Ouezzane;strict;Taux d'urbanisation pour territoire factice en 2024 : valeur factice. (Source : HCP — RGPH 2024)
VP009;valeur_precise;Combien de ménages recense-t-on à M'diq en 2024 ?;valeur;;71;Commune de M'diq;strict;Ménages (2024) pour territoire factice : valeur factice. (Source : RGPH 2024 — Recensement Général de la Population et de l'Habitat (HCP). https://resultats2024.rgphapps.ma/)
VP010;valeur_precise;Quelle est la température moyenne dans la province de Fahs-Anjra ?;valeur;;4;Fahs-Anjra;strict;Température moyenne pour territoire factice en 2020-2024 : valeur factice. (Source : Annuaire Statistique du Maroc (HCP). https://www.hcp.ma/downloads/Annuaire-Statistique-du-Maroc-format-Excel_t22392.html Chapitre 23 — Environnement, tableaux 23-5, 23-6 et 23-7 (stations de la Direction de la Météo
VP011;valeur_precise;taux d'activité des 15 ans et plus à Fnideq, tu peux me dire ?;valeur;;392;Commune de Fnideq;strict;Taux d'activité des 15 ans et plus pour territoire factice en 2024 : valeur factice. (Source : RGPH 2024 — Recensement Général de la Population et de l'Habitat (HCP). https://resultats2024.rgphapps.ma/)
VP012;valeur_precise;Quel est le total des autoroutes en kilomètres dans la préfecture de Tanger-Assilah ?;valeur;;311;Tanger-Assilah;strict;Autoroutes pour territoire factice en 2024 : valeur factice. (Source : Direction Régionale du HCP Tanger-Tétouan-Al Hoceïma, figure « Réseau routier et autoroutier (en km) selon les préfectures/provinces, 2024 ». Niveau province — ventilation absente de l'Annuaire national, qui s'arrête à la région.
VP013;valeur_precise;Je cherche le taux de pauvreté multidimensionnelle incidence H pour la commune de Chefchaouen, pas la province.;valeur;;497;Commune de Chefchaouen;strict;Taux de pauvreté multidimensionnelle incidence H (2024) pour territoire factice : valeur factice. (Source : HCP — Cartographie de la pauvreté multidimensionnelle (Mai 2025), niveaux commune et province, 2024)
VP014;valeur_precise;Habitants par lit hospitalier dans la province de Tétouan ?;valeur;;422;Tétouan;strict;Habitants par lit hospitalier (public + privé) pour territoire factice en 2024 : valeur factice. (Source : Carte Sanitaire (Ministère de la Santé et de la Protection Sociale) — Tableau de Bord Interactif, export officiel 2024)
